"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","19172","Verify whether able to create ""Staff"" user: ""automationstaff","","Thu May 14 12:44:25 IST 2026","passed","Thu May 14 12:44:44 IST 2026","","endtoend.spec.js","",""
"","9020","verify Login","","Thu May 14 12:19:19 IST 2026","passed","Thu May 14 12:19:28 IST 2026","","login.spec.js","",""
"","10943","verify Login","","Tue May 12 14:16:56 IST 2026","passed","Tue May 12 14:17:07 IST 2026","","01-login-flow.spec.js","",""
"","0","Verify whether able to create ""Partner"" user: ""automationpartner""","","Tue May 12 14:10:31 IST 2026","skipped","Tue May 12 14:10:31 IST 2026","","22-admin-creation.spec.js","",""
"","1","Verify whether able to create ""Delivery Boy"" user: ""automationdelivery""","","Tue May 12 14:10:31 IST 2026","skipped","Tue May 12 14:10:31 IST 2026","","22-admin-creation.spec.js","",""
"","9888","Verify whether able to create ""Admin"" user: ""automation user""","","Tue May 12 14:10:19 IST 2026","failed","Tue May 12 14:10:29 IST 2026","","22-admin-creation.spec.js","",""
"","19061","Verify whether able to create ""Delivery Boy"" user: ""automationdelivery","","Thu May 14 12:44:03 IST 2026","passed","Thu May 14 12:44:22 IST 2026","","endtoend.spec.js","",""
"","19969","Verify whether able to create ""Admin"" user: ""automation user","","Thu May 14 12:43:38 IST 2026","passed","Thu May 14 12:43:58 IST 2026","","endtoend.spec.js","",""
"","13139","Verify end to end flow","","Tue May 12 15:50:06 IST 2026","failed","Tue May 12 15:50:19 IST 2026","","endtoend.spec.js","",""
"","0","Verify whether able to create ""Partner"" user: ""automaonpartner""","","Tue May 12 14:10:31 IST 2026","skipped","Tue May 12 14:10:31 IST 2026","","22-admin-creation.spec.js","",""
"","0","Verify whether able to navigate to Dashboard sub section","","Tue May 12 14:10:31 IST 2026","skipped","Tue May 12 14:10:31 IST 2026","","22-admin-creation.spec.js","",""
"","0","Verify whether able to create ""Staff"" user: ""automationstaff""","","Tue May 12 14:10:31 IST 2026","skipped","Tue May 12 14:10:31 IST 2026","","22-admin-creation.spec.js","",""
"","19007","Verify whether able to create ""Partner"" user: ""automaonpartner","","Thu May 14 12:45:08 IST 2026","passed","Thu May 14 12:45:27 IST 2026","","endtoend.spec.js","",""
"","10977","verify invalid login","","Thu May 14 13:56:47 IST 2026","passed","Thu May 14 13:56:58 IST 2026","","invalidlogin.spec.js","",""
"","19703","Verify whether able to create ""Partner"" user: ""automationpartner","","Thu May 14 12:44:46 IST 2026","passed","Thu May 14 12:45:06 IST 2026","","endtoend.spec.js","",""
